event_id,user_id,event_type,event_timestamp
1,58,signup,2025-12-16 15:27:40
2,720,signup,2025-05-02 13:24:38
3,512,upgrade_click,2025-12-03 14:05:22
4,661,feature_use,2025-12-11 14:55:01
5,580,signup,2025-12-28 04:46:10
6,917,signup,2025-09-16 05:36:02
7,236,billing_page_view,2025-02-22 05:05:58
8,487,signup,2025-07-20 06:47:20
9,947,feature_use,2025-03-20 20:58:26
10,921,billing_page_view,2025-11-02 21:24:46
11,674,login,2025-07-16 09:20:00
12,952,signup,2025-12-06 12:48:08
13,985,billing_page_view,2025-08-15 10:51:12
14,148,upgrade_click,2025-12-17 13:54:12
15,952,feature_use,2025-11-13 11:16:38
16,167,login,2025-06-06 00:56:34
17,581,upgrade_click,2025-11-13 03:30:25
18,694,upgrade_click,2025-10-25 19:56:46
19,774,login,2025-11-10 06:55:29
20,810,signup,2025-10-11 09:40:47
21,513,feature_use,2025-12-26 12:09:31
22,55,upgrade_click,2025-12-11 08:54:21
23,238,feature_use,2024-10-02 01:04:58
24,620,feature_use,2025-09-19 03:04:50
25,31,feature_use,2025-12-26 16:42:06
26,803,upgrade_click,2025-09-27 22:51:51
27,234,billing_page_view,2025-12-08 13:06:00
28,964,upgrade_click,2025-06-18 14:27:59
29,191,billing_page_view,2025-12-02 22:25:49
30,677,signup,2025-06-24 05:04:08
31,791,feature_use,2025-09-26 11:50:09
32,818,signup,2025-03-19 10:09:24
33,85,login,2024-12-21 03:21:38
34,390,upgrade_click,2025-11-24 23:29:28
35,325,signup,2025-11-04 01:58:11
36,94,feature_use,2024-07-17 00:50:45
37,456,feature_use,2025-01-04 13:20:54
38,105,signup,2024-05-27 22:06:34
39,192,upgrade_click,2024-12-18 18:02:25
40,571,billing_page_view,2025-08-06 21:06:11
41,418,signup,2025-05-11 02:45:35
42,92,billing_page_view,2025-04-30 10:43:12
43,96,billing_page_view,2025-05-17 15:28:48
44,804,upgrade_click,2025-07-28 23:49:10
45,13,upgrade_click,2025-03-17 16:25:44
46,398,billing_page_view,2025-11-16 05:21:51
47,927,login,2025-12-30 09:13:44
48,586,login,2025-12-17 04:31:23
49,702,login,2025-04-23 17:21:33
50,143,feature_use,2025-11-29 01:18:47
51,275,login,2025-08-23 00:29:47
52,65,upgrade_click,2025-10-11 05:37:17
53,283,feature_use,2025-09-10 18:28:44
54,496,signup,2025-12-06 21:57:48
55,370,login,2025-01-19 12:01:23
